DateTimeExt,DateTimeFormatExt,pH,Temp,ODO,,,min,max
7/16/2014 14:45,0.61,6.14,13.31111111,8.81,,pH,5.97,6.15
7/16/2014 15:00,0.63,6.15,13.32222222,8.82,,Temp,12.86111111,13.42222222
7/16/2014 15:15,0.64,6.15,13.24444444,8.86,,ODO,7.66,8.89
7/16/2014 15:30,0.65,6.15,13.23333333,8.85,,,,
7/16/2014 15:45,0.66,6.15,13.31111111,8.85,,,,
7/16/2014 16:00,0.67,6.15,13.34444444,8.87,,,,
7/16/2014 16:15,0.68,6.15,13.30555556,8.85,,,,
7/16/2014 16:30,0.69,6.15,13.26111111,8.84,,,,
7/16/2014 16:45,0.7,6.15,13.18888889,8.86,,,,
7/16/2014 17:00,0.71,6.14,13.15555556,8.84,,,,
7/16/2014 17:15,0.72,6.13,13.17222222,8.8,,,,
7/16/2014 17:30,0.73,6.12,13.16111111,8.74,,,,
7/16/2014 17:45,0.74,6.1,13.09444444,8.64,,,,
7/16/2014 18:00,0.75,6.05,13.10555556,8.38,,,,
7/16/2014 18:15,0.76,6.05,13.1,8.36,,,,
7/16/2014 18:30,0.77,6.03,13.1,8.23,,,,
7/16/2014 18:45,0.78,6.03,13.12777778,8.16,,,,
7/16/2014 19:00,0.79,6.07,13.10555556,8.48,,,,
7/16/2014 19:15,0.8,6.03,13.08333333,8.19,,,,
7/16/2014 19:30,0.81,6.04,13.06111111,8.25,,,,
7/16/2014 19:45,0.82,6.01,13.05555556,8.06,,,,
7/16/2014 20:00,0.83,5.99,13.05,7.91,,,,
7/16/2014 20:15,0.84,5.97,13.03333333,7.66,,,,
7/16/2014 20:30,0.85,5.97,13.01111111,7.71,,,,
7/16/2014 20:45,0.86,5.97,13.00555556,7.78,,,,
7/16/2014 21:00,0.87,6,12.98333333,8.09,,,,
7/16/2014 21:15,0.89,6.02,12.97777778,8.28,,,,
7/16/2014 21:30,0.9,6.04,12.96666667,8.41,,,,
7/16/2014 21:45,0.91,6.02,12.97222222,8.27,,,,
7/16/2014 22:00,0.92,5.99,12.96666667,7.9,,,,
7/16/2014 22:15,0.93,6.03,12.95555556,8.37,,,,
7/16/2014 22:30,0.94,6.02,12.95555556,8.22,,,,
7/16/2014 22:45,0.95,6.06,12.94444444,8.5,,,,
7/16/2014 23:00,0.96,6.03,12.94444444,8.23,,,,
7/16/2014 23:15,0.97,6.07,12.93333333,8.57,,,,
7/16/2014 23:30,0.98,6.1,12.92777778,8.72,,,,
7/16/2014 23:45,0.99,6.08,12.92777778,8.57,,,,
7/17/2014 0:00,1,6.1,12.92777778,8.65,,,,
7/17/2014 0:15,1.01,6.1,12.93333333,8.68,,,,
7/17/2014 0:30,1.02,6.08,12.94444444,8.62,,,,
7/17/2014 0:45,1.03,6.03,12.94444444,8.12,,,,
7/17/2014 1:00,1.04,6.05,12.94444444,8.42,,,,
7/17/2014 1:15,1.05,6.02,12.95,8.14,,,,
7/17/2014 1:30,1.06,6.03,12.93888889,8.28,,,,
7/17/2014 1:45,1.07,6.05,12.93888889,8.45,,,,
7/17/2014 2:00,1.08,6,12.93888889,8.02,,,,
7/17/2014 2:15,1.09,6.03,12.94444444,8.3,,,,
7/17/2014 2:30,1.1,6.08,12.93333333,8.66,,,,
7/17/2014 2:45,1.11,6.01,12.94444444,8.09,,,,
7/17/2014 3:00,1.13,6.03,12.94444444,8.23,,,,
